मसूरी	ma suu rii
मुरुगा	mur gaa
शास्त्रों	shaas troon
हरबर्ट	har bart:
ज़रुरुत	ja ru rut
वायु	vaa yu
गारसीलासो	ga raa sii la soo
भरोसे	bha roo sei
मुहाने	mu haa nei
व्याख्यान	vyaakh yaan
बागान	baa gaan
पंचवर्षीय	pan chvar shii ya
रावलपिण्डी	raa val pin d:ii
बनिस	ba nis
जबाबी	ja vaa bii
लिपस्टिक	lip stik
मोरार	moo raar
सीपीयू	sii pii yuu
देसी	dei sii
बशर्तें	ba shar tein
वध	vadh
उत्पादकों	ut paa da koon
मेहसाना	mei ha saa naa
अभेद्य	a bheid ya
अतिरिक्त	a ti rikt
लीन	liin
अनुभूति	a nu bhuu ti
अंगुली	an gu lii
बहन	ba han
भगा	bha gaa
संभावानाओं	sam bhaav naaoon
जगह	ja gah
निरपेक्ष	ni ra peikshh
गिरा	gi raa
हिन्दूओं	hin duoon
नेत्री	neit rii
विवादी	vi vaa dii
निवेशक	ni vei shak
मैत्रीपूर्ण	meit ra poorn:
बहस	ba has
चव्हाण	chav haan:
लील	liil
डॉलर	d:aa lar
दौरा	dau raa
जगराव	jag raav
चकत्ते	cha kat tei
मानवाधिकार	maa na vaa dhi kaar
पूंछ	puunchh
वाइड	vaaid:
प्रवाहित	pra vaa hit
अपरिहार्य	a pa ri haar ya
लीं	liin
गोलमाज	gool maaj
सुकन्या	su kan yaa
बरस	ba ras
नेट्टर	neit: t:ar
तू	tuu
इज़्जत	ij jat
पुर्नवा	pur nvaa
वाँगचुक	vaan gchuk
हार्डिन	haar d:in
व्यक्त	vyakt
लीक	liik
पौड़	paud:
पारसव	paar sav
वर्ल्डस	varld:s
पैट्रोल	pait rool
गुबंद	gu band
फैलते	phail tei
रसूलगढ़	ra suul gad:h
नियमों	ni ya moon
भई	bhaii
जगाओ	ja gaaoo
डोंगरी	d:oon grii
सब्जियों	sab ji yoon
दशा	da shaa
परिपक्व	pa ri pakv
घी	ghii
इतना	it naa
फिलिस्तीनियों	phi lis tii ni yoon
विशुद्ध	vi shuddh
डायबिटिज	d:aa ya bi t:iij
विद्यार्थियो	vid yaar thi yoon
तिरुपति	ti ru pa ti
दशक	da shak
ओरटीज़	aur t:iij
मार्निंग	maar ning
चन्द्रमाँ	chan dra maa
कैंटोमेण्ट	kein t:oon meint:
खिदमतगार	khid mat gaar
लैपटॉप	laip t:aap
भय	bhay
सारणी	saar n:ii
शहीद	sha hiid
भर	bhar
पर्दों	par doon
वार्निश	vaar nish
भव	bhav
टेक्नोलॉजी	teik noo loo ji
आक्रोशित	aak roo shit
कमिशनर	ka mish nar
विकिरण	vi ki ran:
दुनियाबी	du ni yaa bii
झेलने	jheil nei
सर्वपल्ली	sar va pal lii
पॉचों	paan choon
थमा	tha maa
अभिव्यक्ति	a bhiv yak ti
जंतुओं	jan tuoon
पशुओं	pa shuoon
आन्दोलनों	aan doo la noon
ढ़केलता	d:ha kei la taa
अक्दूबर	ak t:uu bar
रुकता	ruk taa
पीटा	pii t:aa
गीत	giit
अशोकनगर	a shook na gar
विविक्त	vi vikt
निश्चित	nish chit
चिन्ताओं	chin taaoon
सृष्टि	srxishh t:i
अर्थिक	aar thik
उठो	u thoo
अनशन	an shan
पढ़ाते	pa d:haa tei
हंसराज	han sraaj
कमायेंगे	ka ma yein gei
रहमोकर्म	ra ha moo ka ram
लेविन	lei vin
भौतिकवादी	bhau tik vaa dii
विलियम	vi li yam
सजाने	sa jaa nei
रेड्डी	reid: d:ii
रक्षात्मक	rak shaat mak
गवर्नमेंट	ga var na meint:
व्यवासायों	vya vaa saa yoon
कार्याक्रम	kaar yaak ram
महशर	mah shar
खर्चों	khar choon
हरिनारायण	ha ri naa raa yan:
सुरंग	su rang
लेविस	lei vis
चुनता	chun taa
प्रकाश	pra kaash
करेंगी	ka rein gii
कोनों	koo noon
आशिर्वाद	aa shir vaa di
पत्तियाँ	pat ti yaan
सुप्रभात	sup ra bhaat
मुसलिमों	mus li moon
करघों	kar ghoon
तमिल	ta mil
बढ़ती	bad:h tii
अनन्तपुर	a nan ta pur
चित्रकार	chit ra kaar
ऊतकों	uu ta koon
प्रर्वतन	pa rar va tan
मनाते	ma naa tei
मनाती	ma naa tii
कालेजों	kaa lei joon
आर्ट	aart:
परिलक्षित	pa ri lak shhit
पूरक	puu rak
बन्दरों	ban da roon
फेंकनें	phein knei
रोगग्रस्त	roog grast
चौड़ा	chau d:aa
एजेंडा	ei jein d:aa
हत्यारों	hat yaa roon
गयाप्रसाद	ga yaap ra saad
बूंद	buund
हेलेना	hei lei naa
ईंधन	iin dhan
जलनिकासी	jal ni kaa sii
भण्डार	bhan d:aar
अध्याय	adh yaa ya
ओरॉयन	oo raa yan
बुके	boo kei
रेक्टर	reik t:ar
भागने	bhaag nei
फंडामेंटल	phan d:a mein t:als
पूरन	puu ran
चाहेंगें	chaa hein gei
आनुवांशिक	aa nu vaan shik
संसकृति	sam
मोहनलाल	moo han laal
किन्तु	kin tu
प्राथमिकताओं	praath mik taaoon
लौटने	laut: nei
खिलाया	khi laa yaa
पूरा	puu raa
जोड़ें	joo d:ein
हाइड	haid:
जानकारी	jaan kaa rii
स्वीकृत	sviik rxit
पतली	pat lii
पीड़ित	pii d:it
प्रदूषकों	pra duu sha koon
छोड़ा	chhoo d:aa
थेरेपी	thei rei pii
सदोपचार	sa doop chaar
वियना	vi ya na
पूजन	poo jan
याहू	yaa huu
पश्तुन	pash tun
दशहरा	da sha ha raa
सवालों	sa vaa loon
मनपसंद	man pa sand
रैंप	raimp
दूरदृष्टी	duur drxishh t:ii
रियो	ri yoo
चैयर	chai yar
सुगम	su gam
प्रेणादायी	
स्वतंत्र	sva tan tra
भाग्यशाली	bhaag ya shaa lii
स्टाइलिश	st:aai lish
पैगाम	pai gaam
सड़नशील	sa d:an shiil
बर्मा	bar maa
बंबई	bam baii
खत	khat
वीवी	vii vii
बढ़ाएगा	ba d:haaei gaa
माँडले	maan d:lei
आयेगा	aa yei gaa
मैगज़ीन	mai ga jii na
खा	khaa
खगोलीय	kha goo lii ya
कौशल	kau shal
पालक	paa lak
पुनर्निर्मित	pu nar nir mit
आगरकर	aa gar kar
खर	khar
स्तंभित	stam bhit
नसों	na soon
गफ्फार	gaph phaar
धनतेरस	dhan tei ras
अधीन	a dhiin
पेरु	pei ru
छोडते	chhood: tei
कराये	ka raa yei
नाईट्रस	naaiit: ras
लम्बी	lam bii
वर्कशॉप	var kshaap
सूगर	soo gar
मरना	mar naa
सुग्रीवहिं	sug rii va hin
अंगों	an goon
गरिमामय	ga ri maa may
आर्मी	aar mii
बादशाह	baad shaah
पीड़ीत	pii d:it
कपड़ें	kap d:ei
परामर्श	pa raa marsh
पोताई	poo taaii
बीजों	bii joon
जमींदार	ja miin daar
कोपाटकिन	koo paat: ka ni
पहनती	pa han tii
रोमांचक	roo man chak
अल्मोड़ा	al moo d:aa
अपना	ap naa
बोर्रस	boor ras
वेबलिन	vei ba lin
विषाक्त	vi shhakt
आँखें	aan khein
दरभंगा	dar bhan gaa
फिल्म	philm
लाइटें	laa t:ein
लिहाज	li haaj
पटरी	pat: rii
जीतते	jii ta tei
नॉल्टन	naal t:an
कन्याओं	kan yaaoon
आयोग	aa yoog
जीएमआरटी	jei ra ma tei
चलाएँ	cha laaei
जिम्मा	jim maa
पौष्टिक	paushh t:ik
ख़िलाफ़	khi laaph
अधिकृत	a dhik rxit
गांधीजी	gaan dhii jii
बंग	bang
फैंबियंस	phai bin ya si
अंटार्कटिका	an ttar kik
भाषायी	bhaa shhaa yii
प्रतिबद्ध	pra ti baddh
अकेलेपन	a kei pa lei na
अनुभवशाली	a nu bha va shaa lii
बंध	bandh
बंद	band
इशारा	i shar
धधकती	dha dhak tii
विलासित	vi laa sit
तिमुरिड	ti mu reid:
भगाकर	bha gaa kar
बिगाड़ते	bi gaad: tei
बास्केट	baas keit:
सराय	sa raay
त्वैन	tvain
आटे	aa t:ei
कैडेट्स	kei d:eit:s
मुझमे	mujh mei
डुमराँव	d:um raanv
उपमा	up maa
जख्म	jakhm
जंगली	ja ga lii
सीबेल	sii beil
निर्माण	nir maan:
शिकायत	shi kaa yat
फैलाव	phai laav
नर्वस	nar vas
चढ़कर	chad:h kar
अवलोकन	av loo kan
नारें	naa rei
बनूँगा	ba nuun gaa
पैटर्न	pai t:ar na
चेन	chein
तरार	ta raar
आवास	aa vaas
वाचालता	vaa chaal taa
महासगरों	maa haa saag roon
क्लासटीचर	klaas tii char
चेस	cheis
अनुशासित	a nu shaa sit
प्राईवेट	praai veit:
जेठा	jei t:haa
निर्देशिका	nir dei shik
प्रतिबन्ध	pra ti bandh
रहूं	ra huun
विस्थापित	vis thaa pit
दोनों	doo noon
प्रजाती	pra jaa ti
गोपनीय	goo pa nii ya
अमरावती	a ma raa va tii
वीडियों	vii d:ii yoon
आवाज	aa vaaj
लंबा	lam baa
मंगेशकर	man geish kar
जैनुल्लाब्दीन	jai nul laa diin
निर्धनता	nir dhan taa
उद्धरणों	ud dhar n:oon
सुन्दरवन	sun dar van
ज़मीन	ja miin
कन्नङ	kan nad:
फैलाए	phai laa yei
भ्रामीण	bhraa miin:
गोमूत्र	goo muut ra
हद	had
जिज्ञासा	ji jaa saa
मरेगा	ma rei gaa
दंश	dansh
स्तरीय	sta rii ya
दंभ	dambh
ग्रीनहाउस	griin haaus
यूगोस्लाविया	yuu goos laa vi yaa
चौपड़	chau pad:
खासा	khaa saa
फिसलकर	phi sal kar
दंड	dand:
गुलाबों	gu laa boon
प्राचीनतम	praa chiin tam
श्राप	shraap
पहचानते	pa ha chaan tei
कॉमनवेल्थ	kaa man veilth
इंडस्ट्रीज़	in d:as t:riij
हस्तान्तरण	has taa nan ta ran:
सितारे	si ta rei
पीले	pii lei
दोषमुक्त	dooshh mukt
हि	hi
तीलियों	tii li yoon
व्यावसायीकरण	vya va saa yi ka ran:
आपदाओं	aa pa daaoon
तोबागो	too baa goo
दायकु	daa ya ku
जॉननाथन	jaan naa than
सुर्खियाँ	sur khi yaan
जैसा	jai saa
रोकना	rook naa
जाया	jaa yaa
उपरी	up rii
ओरल	oo ral
आर्थर	aar thar
चार्ट	chaart:
ताया	taa yaa
शाश्वत	shaash vat
बालकाल	baal kaal
धैर्य	dhair ya
डेढ़	deid:h
मंतर	man tar
उम्मीदों	um mii doon
पैक्ट	paikt:
कूकर	kuu kar
रीयूज	rii yuuj
भूलने	bhuul nei
तिरमुड	tir mud:
पौते	pau tei
अधिकारियों	a dhi kaa ri yoon
भुजा	bhu jaa
कैंडीज	kain d:iij
फ्रेंकलिन	phrain klin
बिरंगे	bi ran gei
मिसाईल	mi saail
बिरंगी	bi ran gii
महानगरीय	ma haa nag rii ya
बौद्धिकता	baud dhik taa
लेनी	lei nii
परिणित	pa ri n:a ti
जलाशय	ja laa sha ya
कोट्स	koot:s
आविष्कारों	aa vishh kaa roon
ग्रेजुएशन	grei juei shan
फंगस	phan gas
दयाल	da yaal
नोआम	nooaam
फूटी	phuu t:ii
महिला	ma hi laa
थकाऊ	tha kaauu
कार्नवालिस	kaar na va lis
बिस्मल	bis mil
मार्क्सवाद	maar ksvaad
आखिर	aa khir
प्रसारितकरना	pra saa rit kar naa
निगल	ni gal
श्रृंखला	shran khlaa
ईसाई	ii saaii
सुफलां	suph laan
वात्सायन	vaat saa yan
रुपरेखा	rup rei khaa
पिवोट	pi voot
जियाए	ji yaaei
संकटों	san ka t:oon
एडम	ai d:am
चाची	chaa chii
शिवराम	shiv raam
हाँफने	haan phnei
थकान	tha kaan
विजयकुमार	vi jay ku maar
एलजीबीटी	a leij bit tii
खण्ड़रों	khan d:ha roon
जपत	ja pat
बेवकूफों	bei va kuu phoon
टांग	t:aang
बुलाता	bu laa taa
ध्रुम्रपान	dhum ra paan
